Time	,	Heart Rate
22:53:24	,	74
22:53:29	,	55
22:53:34	,	55
22:53:49	,	55
22:53:54	,	55
22:54:09	,	55
22:54:24	,	55
22:54:29	,	62
22:54:34	,	63
22:54:39	,	65
22:54:44	,	66
22:54:54	,	67
22:55:09	,	67
22:55:14	,	66
22:55:19	,	65
22:55:24	,	67
22:55:29	,	68
22:55:39	,	67
22:55:49	,	68
22:56:04	,	67
22:56:19	,	67
22:56:29	,	68
22:56:34	,	70
22:56:39	,	71
22:56:44	,	72
22:56:49	,	72
22:56:59	,	71
22:57:04	,	69
22:57:09	,	70
22:57:14	,	71
22:57:19	,	72
22:57:34	,	73
22:57:39	,	74
22:57:54	,	75
22:58:09	,	75
22:58:14	,	74
22:58:24	,	72
22:58:39	,	73
22:58:54	,	74
23:00:38	,	77
23:00:43	,	78
23:00:58	,	78
23:01:08	,	79
23:01:13	,	78
23:01:18	,	75
23:01:23	,	74
23:01:38	,	74
23:01:53	,	75
23:02:08	,	74
23:02:13	,	75
23:02:23	,	74
23:02:38	,	74
23:02:43	,	71
23:02:58	,	71
23:03:13	,	71
23:03:28	,	71
23:03:33	,	72
23:03:43	,	71
23:03:48	,	73
23:04:03	,	73
23:04:08	,	75
23:04:23	,	74
23:04:28	,	75
23:04:43	,	74
23:04:53	,	86
23:04:58	,	89
23:05:03	,	87
23:05:08	,	90
23:05:13	,	94
23:05:28	,	95
23:05:43	,	96
23:05:48	,	95
23:05:53	,	94
23:06:03	,	84
23:06:08	,	76
23:06:13	,	77
23:06:18	,	75
23:06:23	,	75
23:06:28	,	77
23:06:38	,	73
23:06:43	,	69
23:06:53	,	70
23:07:03	,	71
23:07:18	,	70
23:07:23	,	69
23:07:28	,	68
23:07:43	,	68
23:07:58	,	68
23:08:08	,	69
23:08:18	,	70
23:08:23	,	72
23:08:28	,	73
23:08:33	,	73
23:08:48	,	72
23:08:53	,	71
23:08:58	,	71
23:09:13	,	71
23:09:23	,	73
23:09:28	,	73
23:09:33	,	74
23:09:48	,	74
23:10:03	,	74
23:10:13	,	73
23:10:18	,	71
23:10:23	,	71
23:10:28	,	71
23:10:43	,	71
23:10:48	,	71
23:10:53	,	71
23:10:58	,	71
23:11:13	,	71
23:11:28	,	72
23:11:43	,	72
23:11:48	,	72
23:11:58	,	73
23:12:03	,	74
23:12:13	,	73
23:12:18	,	72
23:12:23	,	71
23:12:28	,	70
23:12:43	,	70
23:12:53	,	71
23:13:03	,	72
23:13:08	,	73
23:13:23	,	73
23:13:38	,	72
23:13:43	,	70
23:13:58	,	70
23:14:13	,	70
23:14:28	,	70
23:14:43	,	70
23:14:58	,	70
23:15:13	,	68
23:15:18	,	68
23:15:33	,	68
23:15:38	,	69
23:15:43	,	73
23:15:48	,	72
23:15:53	,	70
23:15:58	,	65
23:16:03	,	63
23:16:08	,	61
23:16:18	,	62
23:16:23	,	61
23:16:38	,	61
